"","Predator","Predator_Size","Median_N","Max_N","Min_N","name"
"52","Active Cephs",1258.92541179417,5.65861609898206,13.7290151031111,3.64877897309731,"High Activity"
"53","Active Cephs",1584.89319246111,7.01777046882018,17.279569834208,4.48907898571978,"High Activity"
"54","Active Cephs",1995.26231496888,8.73623922609797,21.817155492193,5.54183528658963,"High Activity"
"55","Active Cephs",2511.88643150958,10.9173143666707,27.6225581385709,6.86758570722958,"High Activity"
"56","Active Cephs",3162.27766016838,13.6943995032557,35.0531600171064,8.54492571321568,"High Activity"
"57","Active Cephs",3981.07170553497,17.2393386261897,44.5615688962439,10.6757490933621,"High Activity"
"58","Active Cephs",5011.87233627272,21.7727611843763,56.7178346723626,13.391882061477,"High Activity"
"59","Active Cephs",6309.57344480194,27.5767960942918,72.2356675042656,16.8634073149227,"High Activity"
"60","Active Cephs",7943.28234724279,35.0105191355401,92.0030913038776,21.309003351902,"High Activity"
"61","Fish",0.001,2.51277843500063e-06,2.63776837354666e-06,2.39901648761061e-06,"Fish"
"62","Fish",0.00125892541179417,3.53719832062669e-06,3.69140364973219e-06,3.37896130850925e-06,"Fish"
"63","Fish",0.00158489319246111,4.82217961449465e-06,5.01709534829224e-06,4.6107810097176e-06,"Fish"
"64","Fish",0.00199526231496888,6.39927892617484e-06,6.62861776806554e-06,6.13085869075696e-06,"Fish"
"65","Fish",0.00251188643150958,8.29951104263827e-06,8.5502247346094e-06,7.97289574015977e-06,"Fish"
"66","Fish",0.00316227766016838,1.05184488961212e-05,1.08081822615444e-05,1.01678217302454e-05,"Fish"
"67","Fish",0.00398107170553497,1.3064225519213e-05,1.34354598016148e-05,1.27487580350335e-05,"Fish"
"68","Fish",0.00501187233627272,1.60580107067872e-05,1.64782433191e-05,1.57580520574652e-05,"Fish"
"69","Fish",0.00630957344480194,1.95647590078557e-05,2.00017325319257e-05,1.92227558289341e-05,"Fish"
"70","Fish",0.00794328234724282,2.35840820782948e-05,2.4169594900271e-05,2.32398488520895e-05,"Fish"
"71","Fish",0.01,2.83314366831799e-05,2.90121888276281e-05,2.78210222814326e-05,"Fish"
"72","Fish",0.0125892541179417,3.37883897859847e-05,3.46319311124919e-05,3.31051138586522e-05,"Fish"
"73","Fish",0.0158489319246111,4.01136308876102e-05,4.11548258937132e-05,3.92599627177455e-05,"Fish"
"74","Fish",0.0199526231496888,4.74308373687256e-05,4.87181421087072e-05,4.64222463672164e-05,"Fish"
"75","Fish",0.0251188643150958,5.59434326826234e-05,5.74628995692901e-05,5.47608231180711e-05,"Fish"
"76","Fish",0.0316227766016838,6.55645539241787e-05,6.75317540474934e-05,6.44535437950342e-05,"Fish"
"77","Fish",0.0398107170553497,7.65610942896955e-05,7.90866341343353e-05,7.55956501999786e-05,"Fish"
"78","Fish",0.0501187233627271,8.95678248868669e-05,9.24156260050326e-05,8.80434268315072e-05,"Fish"
"79","Fish",0.0630957344480194,0.000104990264928041,0.00010813759337442,0.000102469875880451,"Fish"
"80","Fish",0.0794328234724282,0.000122737755255025,0.00012646261979621,0.000119413674443012,"Fish"
"81","Fish",0.1,0.000143797992905569,0.000148159934861031,0.000139642673272903,"Fish"
"82","Fish",0.125892541179417,0.000168942587515365,0.000174168852463259,0.000164157632001456,"Fish"
"83","Fish",0.158489319246111,0.000199683310163586,0.00020614615544184,0.000194826303338386,"Fish"
"84","Fish",0.199526231496888,0.000237844538987725,0.000246177413576659,0.00023413278717654,"Fish"
"85","Fish",0.251188643150958,0.00028744823347494,0.00029699513969253,0.000283611145669049,"Fish"
"86","Fish",0.316227766016838,0.000351935216202594,0.000361779859926441,0.00034737193735539,"Fish"
"87","Fish",0.398107170553497,0.000434660626943917,0.000443644297762522,0.000428576292082106,"Fish"
"88","Fish",0.501187233627271,0.000535805725709339,0.00054781102413891,0.000526916419584061,"Fish"
"89","Fish",0.630957344480194,0.00065987500948219,0.0006769484828542,0.000643687299983022,"Fish"
"90","Fish",0.794328234724282,0.000800577294376533,0.000826176230844626,0.000778944006466231,"Fish"
"91","Fish",1,0.0009625464870894,0.000994166409991899,0.000930412997087946,"Fish"
"92","Fish",1.25892541179417,0.00114007408243464,0.00118102417493209,0.00109792649713515,"Fish"
"93","Fish",1.58489319246111,0.00134014994570034,0.00138965494264339,0.00128885365889912,"Fish"
"94","Fish",1.99526231496888,0.00157863064214711,0.00163505100687251,0.00151738354297161,"Fish"
"95","Fish",2.51188643150958,0.00188910517449523,0.00194558966608083,0.00181476857986954,"Fish"
"96","Fish",3.16227766016838,0.00230233334866908,0.00237257969202138,0.00222455009889979,"Fish"
"97","Fish",3.98107170553497,0.00287669874010975,0.0029647238281702,0.00279520279493701,"Fish"
"98","Fish",5.01187233627271,0.00368503445540757,0.00378873339200705,0.00359100559819668,"Fish"
"99","Fish",6.30957344480194,0.00480954700932367,0.00493457165391197,0.00469936713843916,"Fish"
"100","Fish",7.94328234724282,0.00635204227873036,0.00651740041119254,0.00623385178513143,"Fish"
"101","Fish",10,0.0084734261747825,0.00868318809214535,0.00833799389119178,"Fish"
"102","Fish",12.5892541179417,0.011366360735085,0.0116171343671716,0.011197754131699,"Fish"
"103","Fish",15.8489319246111,0.0152509556204508,0.015560411914699,0.0150561829301076,"Fish"
"104","Fish",19.9526231496888,0.020479752398317,0.0208613409644298,0.0202124885058753,"Fish"
"105","Fish",25.1188643150958,0.0274093273177246,0.027945639075113,0.027051491838028,"Fish"
"106","Fish",31.6227766016838,0.0366137375978836,0.0373529350697892,0.0360384678238668,"Fish"
"107","Fish",39.8107170553497,0.0487000628253071,0.0496960635515583,0.0478181279010854,"Fish"
"108","Fish",50.1187233627271,0.0643955416324572,0.0657432922245101,0.0631394422718201,"Fish"
"109","Fish",63.0957344480194,0.0844350198888873,0.0863984848482478,0.0828995814435124,"Fish"
"110","Fish",79.4328234724282,0.110171675831569,0.112709119888803,0.108038660238029,"Fish"
"111","Fish",100,0.142913225946491,0.145877476075863,0.139856593981228,"Fish"
"112","Fish",125.892541179417,0.184053048170421,0.187279455457131,0.179788791967781,"Fish"
"113","Fish",158.489319246111,0.234619503586293,0.238496522725959,0.2295112269988,"Fish"
"114","Fish",199.526231496888,0.296634895446464,0.301489259393567,0.290993472279306,"Fish"
"115","Fish",251.188643150958,0.372517695947837,0.378543994961144,0.366571279386027,"Fish"
"116","Fish",316.227766016838,0.465362716293086,0.471983103968068,0.459046416130378,"Fish"
"117","Fish",398.107170553497,0.578339046708531,0.584881019037052,0.571821159499176,"Fish"
"118","Fish",501.187233627271,0.715129738886146,0.72103690711899,0.709047779538229,"Fish"
"119","Fish",630.957344480194,0.881263141343134,0.887724519069603,0.874750664114449,"Fish"
"120","Fish",794.328234724282,1.08218628152982,1.09036707089523,1.07616657517475,"Fish"
