"","Predator","Predator_Size","Median_N","Max_N","Min_N"
"80","Fish",0.0794328234724282,0.0545229687377056,0.0546757222834807,0.0543691638932014
"81","Fish",0.1,0.0442097687694016,0.0444271057748754,0.0441099996308117
"82","Fish",0.125892541179417,0.0357828067797635,0.0362126816533588,0.0355371275900844
"83","Fish",0.158489319246111,0.0287676567630308,0.0293061369142719,0.0284353334015697
"84","Fish",0.199526231496888,0.0228151269458515,0.0234050492479287,0.0224291254384686
"85","Fish",0.251188643150958,0.0177630227440821,0.0183671645814034,0.017351273088733
"86","Fish",0.316227766016838,0.0135655834919217,0.0141501806180168,0.0131552427730932
"87","Fish",0.398107170553497,0.0101909132193889,0.0107254123326778,0.00980455464489198
"88","Fish",0.501187233627271,0.00756556012317841,0.00802856068600391,0.00721891453078318
"89","Fish",0.630957344480194,0.00557607309385892,0.00595844367041442,0.00527801796847085
"90","Fish",0.794328234724282,0.00409597606613558,0.0043993829177391,0.00384917190623773
"91","Fish",1,0.00300850754104837,0.00324160121252152,0.00281057268065216
"92","Fish",1.25892541179417,0.00221617781575385,0.00239074156882258,0.00206147456016878
"93","Fish",1.58489319246111,0.00164165873335731,0.00176981674452643,0.00152315101960691
"94","Fish",1.99526231496888,0.00122556074716509,0.00131820515783367,0.00113619133464752
"95","Fish",2.51188643150958,0.000923497821073583,0.000989655367172742,0.000856947028044176
"96","Fish",3.16227766016838,0.000703063375337921,0.000749833689762162,0.000654038180296078
"97","Fish",3.98107170553497,0.000540998253281843,0.000573772025618782,0.000505249816948881
"98","Fish",5.01187233627271,0.000420776521552824,0.000443550427769641,0.000394988904817513
"99","Fish",6.30957344480194,0.00033070600070056,0.000346396764380992,0.000312338807131987
"100","Fish",7.94328234724282,0.000262514438005034,0.000273228966389087,0.000249642624500828
"101","Fish",10,0.000210331393155602,0.000217580980510391,0.000201502635106988
"102","Fish",12.5892541179417,0.000169967833908925,0.000174829956888559,0.000164085194349727
"103","Fish",15.8489319246111,0.000138410883041292,0.000141648221881721,0.000134641991933976
"104","Fish",19.9526231496888,0.000113471867075573,0.0001156190744872,0.000111182552112438
"105","Fish",25.1188643150958,9.35439009969685e-05,9.49710090003317e-05,9.22523084323031e-05
"106","Fish",31.6227766016838,7.74377616196218e-05,7.83967268433732e-05,7.67836411723501e-05
"107","Fish",39.8107170553497,6.427186093573e-05,6.493072114745e-05,6.39950693552019e-05
"108","Fish",50.1187233627271,5.33964634490539e-05,5.38643201034499e-05,5.33194353980673e-05
"109","Fish",63.0957344480194,4.43481239656145e-05,4.46824744106717e-05,4.43371629667572e-05
"110","Fish",79.4328234724282,3.67851146044469e-05,3.70129883062319e-05,3.67489343298227e-05
"111","Fish",100,3.04097821057969e-05,3.05847118488866e-05,3.03779066133734e-05
"112","Fish",125.892541179417,2.50492169154299e-05,2.5194510799824e-05,2.50311680995682e-05
"113","Fish",158.489319246111,2.05600384828428e-05,2.06833165482055e-05,2.05551414754353e-05
"114","Fish",199.526231496888,1.6821818339562e-05,1.69205116629177e-05,1.68181004836313e-05
"115","Fish",251.188643150958,1.37210069269392e-05,1.3794827489949e-05,1.3713582479963e-05
"116","Fish",316.227766016838,1.11564219397969e-05,1.12095587982443e-05,1.1149047604719e-05
"117","Fish",398.107170553497,9.04380196286305e-06,9.08019394277433e-06,9.03871937956381e-06
"118","Fish",501.187233627271,7.30986127953353e-06,7.33315024096307e-06,7.30799673166412e-06
"119","Fish",630.957344480194,5.89280500410912e-06,5.90487698262677e-06,5.89144852250126e-06
"120","Fish",794.328234724282,4.73871372326796e-06,4.74099815412695e-06,4.73466694647567e-06
"121","Fish",1000,3.79540182727404e-06,3.79989442034299e-06,3.79391543913665e-06
"122","Fish",1258.92541179417,3.03089138901009e-06,3.03802313840189e-06,3.02928976063821e-06
"123","Fish",1584.89319246111,2.41361218617081e-06,2.42121399579731e-06,2.41023271864479e-06
"124","Fish",1995.26231496888,1.91550005818282e-06,1.92303845369695e-06,1.91127414692068e-06
"125","Fish",2511.88643150958,1.51455628206552e-06,1.52165637305695e-06,1.51011050618119e-06
"126","Fish",3162.27766016838,1.19263472977883e-06,1.19906476832893e-06,1.18836191375939e-06
"127","Fish",3981.07170553497,9.34813773984079e-07,9.40458226328744e-07,9.30935746641893e-07
"128","Fish",5011.87233627272,7.28859426121401e-07,7.33689237263317e-07,7.25479005719968e-07
"129","Fish",6309.57344480194,5.64769883924122e-07,5.68814957772458e-07,5.61911685779853e-07
"130","Fish",7943.28234724279,4.34391102119965e-07,4.37717405820588e-07,4.3203204404961e-07
"131","Fish",10000,3.31730316924982e-07,3.34427494648577e-07,3.29817681400267e-07
"132","Fish",12589.2541179417,2.54074662749341e-07,2.56236796701342e-07,2.52544394353086e-07
"133","Fish",15848.9319246111,1.95090770267833e-07,1.96808910009605e-07,1.93878357551314e-07
"134","Fish",19952.6231496888,1.50118668397285e-07,1.51474761715434e-07,1.49165111473259e-07
"135","Fish",25118.8643150957,1.15710139313446e-07,1.16774771074679e-07,1.14964336287121e-07
"136","Fish",31622.7766016838,8.92997960819361e-08,9.013201666439e-08,8.87189865008049e-08
"137","Fish",39810.7170553499,6.8969232313897e-08,6.96174414357527e-08,6.85184635007001e-08
"138","Fish",50118.7233627271,5.32768654140132e-08,5.37801463360097e-08,5.29280360176833e-08
"139","Fish",63095.7344480194,4.11344435492349e-08,4.15240080898762e-08,4.08652299400926e-08
"140","Fish",79432.8234724279,3.17169021264353e-08,3.20174681384858e-08,3.15097255667597e-08
"141","Fish",1e+05,2.43961945715831e-08,2.46272130044314e-08,2.42373015142455e-08
"142","Fish",125892.541179417,1.86924549842183e-08,1.88691582199479e-08,1.85711350150939e-08
"143","Fish",158489.319246111,1.42377587085794e-08,1.43720313840123e-08,1.41456993725186e-08
"144","Fish",199526.231496888,1.07490881399819e-08,1.08501762059647e-08,1.06798538012995e-08
"145","Fish",251188.643150957,8.00805935315573e-09,8.0831389654373e-09,7.95667661657486e-09
"146","Fish",316227.766016838,5.84563918820175e-09,5.90026804579111e-09,5.80827080278435e-09
"147","Fish",398107.170553499,4.13056385650879e-09,4.16903614270169e-09,4.10425441510945e-09
"148","Fish",501187.233627271,2.76051539657593e-09,2.78613890937456e-09,2.74299436613759e-09
"149","Fish",630957.344480194,1.65536076637163e-09,1.67067192500115e-09,1.64489080469243e-09
"150","Fish",794328.234724279,7.51937590417682e-10,7.58867184370743e-10,7.47198400207898e-10
"151","Inactive Cephs",0.01,0.103630704347679,0.113510231464535,0.0928659874053237
"152","Inactive Cephs",0.0125892541179417,0.0920766908263786,0.101666707936734,0.0818598437393726
