Model,Metric,Group,Level,Value,Variant
Feeding + Growth,Mean FG CV,,Community,26.381772,v14
Feeding + Growth,Mean P:B,NA,Community,0.24150557,v14
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000858991,v15
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002581316,v15
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033207569,v15
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035116354,v15
Feeding + Growth,Total Biomass (g m3),,Community,0.071764229,v15
Feeding + Growth,P:B,Active,Func Group,0.12689663,v15
Feeding + Growth,P:B,Inactive,Func Group,0.09616613,v15
Feeding + Growth,P:B,Fish,Func Group,0.0790954,v15
Feeding + Growth,P:B,Zoo,Func Group,0.6461868,v15
Feeding + Growth,CV,Active,Func Group,42.5088,v15
Feeding + Growth,CV,Inactive,Func Group,37.3799,v15
Feeding + Growth,CV,Fish,Func Group,5.40556,v15
Feeding + Growth,CV,Zoo,Func Group,19.6178,v15
Feeding + Growth,Community CV,,Community,7.77604,v15
Feeding + Growth,Mean FG CV,,Community,22.53762,v15
Feeding + Growth,Mean P:B,NA,Community,0.23708624,v15
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000971043,v16
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001315592,v16
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033436976,v16
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035351672,v16
Feeding + Growth,Total Biomass (g m3),,Community,0.071075283,v16
Feeding + Growth,P:B,Active,Func Group,0.12098825,v16
Feeding + Growth,P:B,Inactive,Func Group,0.13058909,v16
Feeding + Growth,P:B,Fish,Func Group,0.07909316,v16
Feeding + Growth,P:B,Zoo,Func Group,0.64158209,v16
Feeding + Growth,CV,Active,Func Group,36.786,v16
Feeding + Growth,CV,Inactive,Func Group,69.5714,v16
Feeding + Growth,CV,Fish,Func Group,5.6177,v16
Feeding + Growth,CV,Zoo,Func Group,20.3511,v16
Feeding + Growth,Community CV,,Community,8.15261,v16
Feeding + Growth,Mean FG CV,,Community,28.095762,v16
Feeding + Growth,Mean P:B,NA,Community,0.243063148,v16
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000962909,v17
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001794949,v17
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033346645,v17
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.035233121,v17
Feeding + Growth,Total Biomass (g m3),,Community,0.071337625,v17
Feeding + Growth,P:B,Active,Func Group,0.12002376,v17
Feeding + Growth,P:B,Inactive,Func Group,0.11528842,v17
Feeding + Growth,P:B,Fish,Func Group,0.07901117,v17
Feeding + Growth,P:B,Zoo,Func Group,0.64247704,v17
Feeding + Growth,CV,Active,Func Group,35.8217,v17
Feeding + Growth,CV,Inactive,Func Group,54.7983,v17
Feeding + Growth,CV,Fish,Func Group,5.58411,v17
Feeding + Growth,CV,Zoo,Func Group,20.305,v17
Feeding + Growth,Community CV,,Community,8.12645,v17
Feeding + Growth,Mean FG CV,,Community,24.927112,v17
Feeding + Growth,Mean P:B,NA,Community,0.239200098,v17
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000945739,v18
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.002553407,v18
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033207787,v18
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.03509881,v18
Feeding + Growth,Total Biomass (g m3),,Community,0.071805743,v18
Feeding + Growth,P:B,Active,Func Group,0.11941642,v18
Feeding + Growth,P:B,Inactive,Func Group,0.09558619,v18
Feeding + Growth,P:B,Fish,Func Group,0.07910311,v18
Feeding + Growth,P:B,Zoo,Func Group,0.64542252,v18
Feeding + Growth,CV,Active,Func Group,35.8125,v18
Feeding + Growth,CV,Inactive,Func Group,37.1814,v18
Feeding + Growth,CV,Fish,Func Group,5.44113,v18
Feeding + Growth,CV,Zoo,Func Group,19.8087,v18
Feeding + Growth,Community CV,,Community,7.84864,v18
Feeding + Growth,Mean FG CV,,Community,21.218474,v18
Feeding + Growth,Mean P:B,NA,Community,0.23488206,v18
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000700562,v19
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001252545,v19
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033364835,v19
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.03546172,v19
Feeding + Growth,Total Biomass (g m3),,Community,0.070779661,v19
Feeding + Growth,P:B,Active,Func Group,0.13915109,v19
Feeding + Growth,P:B,Inactive,Func Group,0.13307593,v19
Feeding + Growth,P:B,Fish,Func Group,0.07893048,v19
Feeding + Growth,P:B,Zoo,Func Group,0.64119323,v19
Feeding + Growth,CV,Active,Func Group,56.4514,v19
Feeding + Growth,CV,Inactive,Func Group,70.0613,v19
Feeding + Growth,CV,Fish,Func Group,5.54785,v19
Feeding + Growth,CV,Zoo,Func Group,19.9427,v19
Feeding + Growth,Community CV,,Community,8.0003,v19
Feeding + Growth,Mean FG CV,,Community,38.0008125,v19
Feeding + Growth,Mean P:B,NA,Community,0.248087683,v19
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000858271,v2
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001887731,v2
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033198678,v2
Feeding + Growth,Biomass (g m3),Zoo,Func Group,0.03518824,v2
Feeding + Growth,Total Biomass (g m3),,Community,0.071132919,v2
Feeding + Growth,P:B,Active,Func Group,0.13733682,v2
Feeding + Growth,P:B,Inactive,Func Group,0.11858138,v2
Feeding + Growth,P:B,Fish,Func Group,0.07906092,v2
Feeding + Growth,P:B,Zoo,Func Group,0.64443134,v2
Feeding + Growth,CV,Active,Func Group,55.0894,v2
Feeding + Growth,CV,Inactive,Func Group,56.5363,v2
Feeding + Growth,CV,Fish,Func Group,5.46982,v2
Feeding + Growth,CV,Zoo,Func Group,19.85,v2
Feeding + Growth,Community CV,,Community,7.8515,v2
Feeding + Growth,Mean FG CV,,Community,34.23638,v2
Feeding + Growth,Mean P:B,NA,Community,0.244852615,v2
Feeding + Growth,Biomass (g m3),Active,Func Group,0.000700616,v20
Feeding + Growth,Biomass (g m3),Inactive,Func Group,0.001714266,v20
Feeding + Growth,Biomass (g m3),Fish,Func Group,0.033265141,v20
