"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"104","Active Cephs",104,0.01,3.89124901986502,4.10091587913354,3.79447457785824,"High Activity"
"105","Active Cephs",105,0.0125892541179417,3.88805670343782,4.1056841607218,3.79157882859478,"High Activity"
"106","Active Cephs",106,0.0158489319246111,3.88901753101162,4.11369280103253,3.79469571034987,"High Activity"
"107","Active Cephs",107,0.0199526231496888,3.89603645017959,4.12657616023179,3.80390761945824,"High Activity"
"108","Active Cephs",108,0.0251188643150958,3.91061237513583,4.14697172087816,3.81891212041955,"High Activity"
"109","Active Cephs",109,0.0316227766016838,3.93393102545169,4.17717125250643,3.84026212724183,"High Activity"
"110","Active Cephs",110,0.0398107170553497,3.96708522510944,4.21844864964451,3.86966736248173,"High Activity"
"111","Active Cephs",111,0.0501187233627271,4.01104179675744,4.27054236802401,3.90843869878936,"High Activity"
"112","Active Cephs",112,0.0630957344480194,4.06619270035642,4.33156983877905,3.95771203153065,"High Activity"
"113","Active Cephs",113,0.0794328234724282,4.13168929302375,4.398505124806,4.01767282533248,"High Activity"
"114","Active Cephs",114,0.1,4.2050010797937,4.46798438229478,4.08659715340834,"High Activity"
"115","Active Cephs",115,0.125892541179417,4.28218461822372,4.53697838290377,4.16106731015327,"High Activity"
"116","Active Cephs",116,0.158489319246111,4.35891943251936,4.60311890199641,4.23800002352847,"High Activity"
"117","Active Cephs",117,0.199526231496888,4.43167426276644,4.66486818107049,4.31360066431077,"High Activity"
"118","Active Cephs",118,0.251188643150958,4.49829904974826,4.72172491683455,4.38484672537178,"High Activity"
"119","Active Cephs",119,0.316227766016838,4.55804287346412,4.77430994808698,4.44989161703541,"High Activity"
"120","Active Cephs",120,0.398107170553497,4.61144011040499,4.82405712548772,4.50810444169055,"High Activity"
"121","Active Cephs",121,0.501187233627271,4.66016784353822,4.87257526017329,4.55965692980846,"High Activity"
"122","Active Cephs",122,0.630957344480194,4.70659251877827,4.92106341995322,4.60625737094078,"High Activity"
"123","Active Cephs",123,0.794328234724282,4.75297997179363,4.97006654937382,4.65068339716769,"High Activity"
